file,orig_size,stream_size,cratio,num_points,num_out_points,bpip,bpop,mse,rmse,psnr_d1,d1,d2,chamfer
basketball_player_vox11_00000001,76.9MB,33.0MB,2.33×,2880057,2880057,96.017044,96.017044,10.969372,3.312004,49.80,1.968466,0.981056,2.949522
basketball_player_vox11_00000002,77.0MB,33.0MB,2.33×,2882040,2882040,96.017032,96.017032,10.635007,3.261136,49.93,1.961900,0.962018,2.923918
basketball_player_vox11_00000003,76.9MB,33.0MB,2.33×,2880019,2880019,96.017044,96.017044,10.792862,3.285249,49.87,1.983423,0.976566,2.959989
basketball_player_vox11_00000042,79.4MB,34.0MB,2.33×,2973650,2973650,96.016508,96.016508,10.405041,3.225685,50.03,1.890178,0.924843,2.815021
basketball_player_vox11_00000167,76.8MB,32.9MB,2.33×,2874300,2874300,96.017078,96.017078,13.364101,3.655694,48.94,2.181229,1.167037,3.348267
basketball_player_vox11_00000290,75.3MB,32.3MB,2.33×,2821550,2821550,96.017398,96.017398,9.701131,3.114664,50.33,1.844733,0.905594,2.750327
basketball_player_vox11_00000326,79.4MB,34.0MB,2.33×,2973696,2973696,96.016507,96.016507,15.256403,3.905945,48.36,2.602855,1.319762,3.922618
basketball_player_vox11_00000417,76.6MB,32.8MB,2.33×,2867166,2867166,96.017121,96.017121,11.997549,3.463748,49.41,2.151869,1.050679,3.202548
basketball_player_vox11_00000519,77.2MB,33.1MB,2.33×,2889841,2889841,96.016986,96.016986,16.621354,4.076929,47.99,2.294251,1.103908,3.398159
dancer_vox11_00000006,68.3MB,29.3MB,2.33×,2558623,2558623,96.019185,96.019185,19.382138,4.402515,47.32,2.706255,1.393872,4.100126
dancer_vox11_00000115,68.7MB,29.4MB,2.33×,2571041,2571041,96.019093,96.019093,9.324385,3.053586,50.50,1.996633,1.050974,3.047606
dancer_vox11_00000256,69.5MB,29.8MB,2.33×,2601126,2601126,96.018872,96.018872,11.706321,3.421450,49.51,2.162082,1.107206,3.269287
dancer_vox11_00000327,69.0MB,29.6MB,2.33×,2583353,2583353,96.019002,96.019002,11.302221,3.361878,49.67,2.033483,1.074718,3.108201
dancer_vox11_00000427,69.7MB,29.9MB,2.33×,2610385,2610385,96.018805,96.018805,17.826274,4.222117,47.69,2.357152,1.099189,3.456340
dancer_vox11_00000563,69.4MB,29.7MB,2.33×,2598804,2598804,96.018889,96.018889,16.346917,4.043132,48.06,2.388395,1.099279,3.487673
exercise_vox11_00000084,66.6MB,28.5MB,2.33×,2494067,2494067,96.019682,96.019682,19.374703,4.401671,47.33,2.695195,1.388079,4.083273
exercise_vox11_00000170,68.4MB,29.3MB,2.33×,2560844,2560844,96.019169,96.019169,16.635901,4.078713,47.99,2.527500,1.257214,3.784714
exercise_vox11_00000240,63.8MB,27.3MB,2.33×,2388942,2388942,96.020548,96.020548,12.615780,3.551870,49.19,2.208588,1.193486,3.402075
exercise_vox11_00000343,65.6MB,28.1MB,2.33×,2456238,2456238,96.019985,96.019985,10.945647,3.308421,49.81,2.056180,1.187729,3.243909
exercise_vox11_00000429,67.1MB,28.7MB,2.33×,2511231,2511231,96.019547,96.019547,13.074977,3.615934,49.03,2.332528,1.162626,3.495153
exercise_vox11_00000570,68.0MB,29.2MB,2.33×,2548395,2548395,96.019262,96.019262,12.765159,3.572836,49.14,2.187725,1.046275,3.234000
model_vox11_00000040,72.3MB,31.0MB,2.33×,2706550,2706550,96.018137,96.018137,11.217434,3.349244,49.70,2.140944,1.064606,3.205550
model_vox11_00000179,64.2MB,27.5MB,2.33×,2403013,2403013,96.020428,96.020428,7.370105,2.714794,51.52,1.663696,0.848065,2.511762
model_vox11_00000265,70.7MB,30.3MB,2.33×,2649069,2649069,96.018530,96.018530,11.823357,3.438511,49.47,2.043765,0.912145,2.955910
model_vox11_00000352,64.8MB,27.8MB,2.33×,2426843,2426843,96.020227,96.020227,8.747942,2.957692,50.78,1.860454,0.812426,2.672880
model_vox11_00000440,65.1MB,27.9MB,2.33×,2437340,2437340,96.020140,96.020140,8.347122,2.889139,50.98,1.699648,0.769101,2.468749
model_vox11_00000574,64.1MB,27.5MB,2.33×,2399071,2399071,96.020461,96.020461,7.873606,2.805995,51.24,1.738439,0.853707,2.592146
